geneSymbol	chromosome
DDX11L1	chr1
OR4F5	chr1
DQ597235	chr1
DQ599768	chr1
LOC100132062	chr1
LOC100133331	chr1
LOC388312	chr1
OR4F29	chr1
BC036251	chr1
M37726	chr1
LOC643837	chr1
AK056486	chr1
SAMD11	chr1
KLHL17	chr1
PLEKHN1	chr1
ISG15	chr1
AGRN	chr1
AK310350	chr1
BC033949	chr1
LOC254099	chr1
MIR200B	chr1
MIR200A	chr1
MIR429	chr1
TTLL10	chr1
B3GALT6	chr1
SCNN1D	chr1
PUSL1	chr1
GLTPD1	chr1
TAS1R3	chr1
LOC148413	chr1
TMEM88B	chr1
VWA1	chr1
ATAD3C	chr1
ATAD3B	chr1
ATAD3A	chr1
AX747755	chr1
HP08716	chr1
AK094692	chr1
MIB2	chr1
MMP23B	chr1
MMP23A	chr1
AK097814	chr1
CALML6	chr1
GABRD	chr1
PRKCZ	chr1
AX747530	chr1
BC018779	chr1
SKI	chr1
RER1	chr1
PLCH2	chr1
TNFRSF14	chr1
FAM213B	chr1
ACTRT2	chr1
PRDM16	chr1
MIR4251	chr1
ARHGEF16	chr1
TPRG1L	chr1
TP73	chr1
CCDC27	chr1
SMIM1	chr1
DFFB	chr1
LOC100133612	chr1
LOC728716	chr1
LOC284661	chr1
AJAP1	chr1
BC037321	chr1
MIR4417	chr1
KCNAB2	chr1
RNF207	chr1
C1orf211	chr1
HES3	chr1
ESPN	chr1
TAS1R1	chr1
ZBTB48	chr1
PHF13	chr1
THAP3	chr1
CAMTA1	chr1
VAMP3	chr1
PER3	chr1
PARK7	chr1
AX747125	chr1
SLC45A1	chr1
ENO1-AS1	chr1
CA6	chr1
H6PD	chr1
SPSB1	chr1
SLC25A33	chr1
TMEM201	chr1
PIK3CD	chr1
NMNAT1	chr1
RBP7	chr1
UBE4B	chr1
KIF1B	chr1
PGD	chr1
APITD1-CORT	chr1
APITD1	chr1
CORT	chr1
PEX14	chr1
TARDBP	chr1
MTOR-AS1	chr1
ANGPTL7	chr1
UBIAD1	chr1
PTCHD2	chr1
FBXO44	chr1
FBXO6	chr1
DRAXIN	chr1
AK125437	chr1
AGTRAP	chr1
C1orf167	chr1
CLCN6	chr1
NPPA-AS1	chr1
PLOD1	chr1
MFN2	chr1
MIIP	chr1
TNFRSF8	chr1
TNFRSF1B	chr1
MIR4632	chr1
VPS13D	chr1
SNORA59B	chr1
AADACL4	chr1
AADACL3	chr1
C1orf158	chr1
PRAMEF12	chr1
PRAMEF1	chr1
PRAMEF2	chr1
PRAMEF8	chr1
PRAMEF22	chr1
PRAMEF5	chr1
PRAMEF9	chr1
PRAMEF16	chr1
PRAMEF20	chr1
PRAMEF10	chr1
PRAMEF17	chr1
PDPN	chr1
PRDM2	chr1
AK124197	chr1
KAZN	chr1
TMEM51	chr1
FHAD1	chr1
EFHD2	chr1
CTRC	chr1
CELA2A	chr1
CELA2B	chr1
DNAJC16	chr1
DDI2	chr1
RSC1A1	chr1
DQ573015	chr1
PLEKHM2	chr1
SLC25A34	chr1
TMEM82	chr1
FBLIM1	chr1
SPEN	chr1
C1orf64	chr1
CLCNKA	chr1
CLCNKB	chr1
SZRD1	chr1
AL832937	chr1
NECAP2	chr1
AX747988	chr1
MIR3675	chr1
MST1P2	chr1
CROCC	chr1
AK125737	chr1
DL489931	chr1
PADI1	chr1
PADI3	chr1
PADI4	chr1
PADI6	chr1
ARHGEF10L	chr1
ACTL8	chr1
IGSF21	chr1
AX747631	chr1
KLHDC7A	chr1
PAX7	chr1
MRTO4	chr1
PQLC2	chr1
MINOS1-NBL1	chr1
NBL1	chr1
MINOS1	chr1
RPS14P3	chr1
HTR6	chr1
OTUD3	chr1
PLA2G5	chr1
PLA2G2F	chr1
UBXN10	chr1
VWA5B1	chr1
FAM43B	chr1
CDA	chr1
PINK1	chr1
LOC100506801	chr1
BC127868	chr1
NBPF3	chr1
ALPL	chr1
LDLRAD2	chr1
CELA3B	chr1
CELA3A	chr1
LINC00339	chr1
CDC42	chr1
ZBTB40	chr1
EPHA8	chr1
C1QA	chr1
C1QC	chr1
C1QB	chr1
EPHB2	chr1
